method,variant,n_features,accuracy,f1_macro
Baseline,RF_all_core,20,0.8106267029972752,0.7896917536569502
RFE,RFE_20,20,0.8106267029972752,0.7896917536569502
RFE,RFE_30,30,0.8106267029972752,0.7896917536569502
RFE,RFE_20,20,0.8106267029972752,0.7896917536569502
RFE,RFE_10,10,0.8051771117166212,0.7847498825681819
MI,MI_top20,20,0.7983651226158038,0.7775932012458785
MI,MI_top30,30,0.7983651226158038,0.7775932012458785
MI,MI_top20,20,0.7983651226158038,0.7775932012458785
MI,MI_top10,10,0.7629427792915532,0.746900832374236
PCA,PCA_99,8,0.6280653950953679,0.5904654349083573
PCA,PCA_95,6,0.6021798365122616,0.5642866666950408
PCA,PCA_90,5,0.5912806539509536,0.5462921348815316
