method,k,feature
RFE,10,nose_confidence
RFE,10,left_shoulder_x
RFE,10,right_shoulder_x
RFE,10,right_shoulder_y
RFE,10,right_shoulder_confidence
RFE,10,left_hip_y
RFE,10,left_hip_z
RFE,10,left_hip_confidence
RFE,10,right_hip_y
RFE,10,right_hip_z
RFE,20,nose_x
RFE,20,nose_y
RFE,20,nose_z
RFE,20,nose_confidence
RFE,20,left_shoulder_x
RFE,20,left_shoulder_y
RFE,20,left_shoulder_z
RFE,20,left_shoulder_confidence
RFE,20,right_shoulder_x
RFE,20,right_shoulder_y
RFE,20,right_shoulder_z
RFE,20,right_shoulder_confidence
RFE,20,left_hip_x
RFE,20,left_hip_y
RFE,20,left_hip_z
RFE,20,left_hip_confidence
RFE,20,right_hip_x
RFE,20,right_hip_y
RFE,20,right_hip_z
RFE,20,right_hip_confidence
RFE,30,nose_x
RFE,30,nose_y
RFE,30,nose_z
RFE,30,nose_confidence
RFE,30,left_shoulder_x
RFE,30,left_shoulder_y
RFE,30,left_shoulder_z
RFE,30,left_shoulder_confidence
RFE,30,right_shoulder_x
RFE,30,right_shoulder_y
RFE,30,right_shoulder_z
RFE,30,right_shoulder_confidence
RFE,30,left_hip_x
RFE,30,left_hip_y
RFE,30,left_hip_z
RFE,30,left_hip_confidence
RFE,30,right_hip_x
RFE,30,right_hip_y
RFE,30,right_hip_z
RFE,30,right_hip_confidence
